id,lga_id,ward_name
1,1,Umuogor
2,1,Uratta
3,1,Ariaria Market
4,1,St. Eugenes by Okigwe Rd
5,1,Osusu I
6,1,Osusu II
7,1,Eziama
8,1,Old Aba Gra
9,1,Industrial Area
10,1,Umuola
11,1,Ogbor I
12,1,Ogbor II
13,2,Eziukwu
14,2,Asa
15,2,Enyimba
16,2,Igwebuike
17,2,Ngwa
18,2,Ohazu II
19,2,Ohazu I
20,2,Aba River
21,2,Ekeoha
22,2,Mosque
23,2,Gloucester
24,2,Aba Town Hall
25,3,Ohafor II
26,3,Ohafor I
27,3,Ohaeke
28,3,Ovukwu
29,3,Eleoha Ihechiowa
30,3,Ikwun Ihechiowa
31,3,Arochukwu III
32,3,Ututu
33,3,Arochukwu II
34,3,Arochukwu I
35,3,Isu
36,4,Itumbauzo
37,4,Bende
38,4,Umu - Imenyi
39,4,Uzuakoli
40,4,Ozuitem
41,4,Umuhu / Ezechi
42,4,Amankalu/Akoliufu
43,4,Ugwueke/Ezeukwu
44,4,Igbere 'B'
45,4,Igbere 'A'
46,4,Item C
47,4,Item A
48,4,Item B
49,5,Oloko II
50,5,Usaka
51,5,Ariam
52,5,Oboro III
53,5,Oboro IV
54,5,Oboro II
55,5,Ibere I
56,5,Ibere II
57,5,Oboro I
58,5,Oloko I
59,6,Amasaa Nsulu
60,6,Umunna Nsulu
61,6,Umuoha
62,6,Isiala Nsulu
63,6,Ngwa Ukwu II
64,6,Ngwa Ukwu I
65,6,Amapu Ntigha
66,6,Mbawsi / Umuomainta
67,6,Amasaa Ntigha
68,6,Ihie
69,7,Mbutu Ukwu
70,7,Amaise / Amaise Anaba
71,7,Ngwaobi
72,7,Mbutu Ngwa
73,7,Ovungwu
74,7,Okporo Ahaba
75,7,Ovuokwu
76,7,Omoba
77,7,Ehina Guru Osokwa
78,7,Akunekpu Eziama Na Obuba
79,8,Imenyi
80,8,Ezere
81,8,Isiala Amawu
82,8,Isu Amawu
83,8,Ogunduasa
84,8,Umunnekwu
85,8,Achara / Mgbugwu
86,8,Ikeagha I
87,8,Umuanyi / Absu
88,8,Ikeagha II
89,9,Mgboko Umuanunu
90,9,Mgboko Itungwa
91,9,Maboko Amairi
92,9,Ahiaba
93,9,Abayi  II
94,9,Akumaimo
95,9,Abayi  I
96,9,Ntighauzo Amairi
97,9,Ibeme
98,9,Ndiarata / Amairinabua
99,9,Alaukwu Ohanze
100,10,Isiama Ohafia
101,10,Ebem Ohafia
102,10,Ania Ohafia
103,10,Ohafor Ohafia
104,10,Okamu Ohafia
105,10,Ndi Agbo Nkporo
106,10,Ndi Etiti Nkporo
107,10,Ndi Elu Nkporo
108,10,Agboji Abiriba
109,10,Amaeke Abiriba
110,10,Amaogudu Abiriba
111,11,Amaitolu Mbutu Umuojima
112,11,Amasator
113,11,Amavo
114,11,Urtta
115,11,Amator
116,11,Oso - Okwa
117,11,Ama - Asaa
118,11,Aro - Ngwa
119,11,Umunneise
120,11,Okpor - Umuobo
121,12,Ward Eight
122,12,Ward Nine
123,12,Ward Ten
124,12,Ward Seven
125,12,Ward Five
126,12,Ward One
127,12,Ward Six
128,12,Ward Four
129,12,Ward Two
130,12,Ward Three
131,13,Akwete
132,13,Ikwueke East
133,13,Umuigube Achara
134,13,Obohia
135,13,Ikwuorie
136,13,Ikwueke  West
137,13,Nkporobe/Ohuru
138,13,Ikwuriator East
139,13,Ikwuriator West
140,13,Azumini
141,14,Asa North
142,14,Ogwe
143,14,Obokwe
144,14,Obuzor
145,14,Ipu  East
146,14,Asa South
147,14,Ipu South
148,14,Ipu West
149,14,Ozaa  West
150,14,Ozaa Ukwu
151,15,Umuhu
152,15,Afugiri
153,15,Nkwoachara
154,15,Nkwoegwu
155,15,Umuahia Urban  III
156,15,Ndume
157,15,Isingwu
158,15,Ibeku East I
159,15,Umuahia Urban II
160,15,Ibeku West
161,15,Ibeku East II
162,15,Umuahia Urban  I
163,16,Ezeleke/Ogbodiukwu
164,16,Ahiaukwu  II
165,16,Ahiaukwu  I
166,16,Ohiaocha
167,16,Old Umuahia
168,16,Amakama
169,16,Ubakala  'A'
170,16,Ubakala  'B'
171,16,Nsirimo
172,16,Omaegwu
173,17,Umuchieze  II
174,17,Umuchieze  III
175,17,Obinolu/Obiagu/La
176,17,Eziama - Agbo
177,17,Mbala/Achara
178,17,Ndiawa/Umuelem/I
179,17,Ezingodo
180,17,Ubahu/Akawa/Arokpa
181,17,Umuchieze I
182,17,Eziama - Ugwu
183,17,Umuaku
184,17,Amuda
185,276,Gawu
186,276,Gurdi
187,276,Nuku
188,276,Abaji North East
189,276,Rimba Ebagi
190,276,Abaji Central
191,276,Alu Mamagi
192,276,Agyana/Pandagi
193,276,Yaba
194,276,Abaji South East
195,277,Kubwa
196,277,Usama
197,277,Dutse Alhaji
198,277,Kurudu
199,277,Bwari Central
200,277,Shere
201,277,Ushafa
202,277,Byazhin
203,277,Igu
204,277,Kawu
205,278,Gwagwalada Centre
206,278,Kutunku
207,278,Staff Quarters
208,278,Paiko
209,278,Tungan Maje
210,278,Gwako
211,278,Zuba
212,278,Ikwa
213,278,Ibwa
214,278,Dobi
215,279,Chibiri
216,279,Kuje
217,279,Gaube
218,279,Kwaku
219,279,Kabi
220,279,Gudun Karya
221,279,Kujekwa
222,279,Yenche
223,279,Gwargwada
224,279,Rubochi
225,280,Ashara
226,280,Wako
227,280,Yebu
228,280,Gumbo
229,280,Yangoji
230,280,Pai
231,280,Kwali Ward
232,280,Kilankwa
233,280,Dafa
234,280,Kundu
235,281,Kashi
236,281,Garki
237,281,City Centre
238,281,Wuse
239,281,Gwarimpa
240,281,Kabusa
241,281,Gwagwa
242,281,Jiwa
243,281,Gui
244,281,Karu
245,281,Nyanya
246,281,Orozo
247,18,Kpasham
248,18,Dong
249,18,Nassarawo Demsa
250,18,Dilli
251,18,Dwam
252,18,Bille
253,18,Mbula Kuli
254,18,Borrong
255,18,Gwamba
256,18,Demsa
257,19,Farang
258,19,Wuro Bokki
259,19,Pariya
260,19,Ribadu
261,19,Fufore
262,19,Gurin
263,19,Beti
264,19,Mayo Ine
265,19,Uki tuki
266,19,Yadim
267,19,Karlahi
268,20,Sugu
269,20,Gamu
270,20,Jaggu
271,20,Ganye II
272,20,Gurum
273,20,Timdore
274,20,Yebbi
275,20,Bakari Guso
276,20,Ganye I
277,20,Sangasumi
278,22,Garkida
279,22,Gombi North
280,22,Gombi South
281,22,Guyaku
282,22,Tawa
283,22,Ga'anda
284,22,Gabun
285,22,Boga/ Dingai
286,22,Duwa
287,22,Yang
288,21,Kola
289,21,Dumna
290,21,Chikila
291,21,Banjiram
292,21,Dukul
293,21,Lokoro
294,21,Guyuk
295,21,Purokayo
296,21,Bodeno
297,21,Bobini
298,24,Uba
299,24,Garaha
300,24,Gaya
301,24,Bangshika
302,24,Hildi
303,24,Daksiri
304,24,Hushere Zum
305,24,Kwarhi
306,24,Mayo Lope
307,24,Thilbang
308,24,Hong
309,24,Shangui
310,26,Gyawana
311,26,Lafiya
312,26,Lamurde
313,26,Dubwangun
314,26,Opalo
315,26,Rigange
316,26,Ngbakowo
